trecho,subsegmento,cidade,km_ini,km_final,pista,nivel
11,130,Piumhí,275.52,275.99,Simples,D
11,131,Piumhí,275.99,276.50,Simples,D
11,132,Piumhí,276.50,277.06,Simples,D
11,133,Piumhí,277.06,277.70,Simples,D
11,134,Piumhí,277.70,278.89,Simples,D
11,135,Piumhí,278.89,280.65,Simples,D
11,136,Piumhí,280.65,281.37,Simples,D
11,137,Piumhí,281.37,284.72,Simples,C
12,138,Capitólio,284.72,289.22,Simples,D
12,139,Capitólio,289.22,290.58,Simples,D
12,140,Capitólio,290.58,297.19,Simples,C
12,141,Capitólio,297.19,298.34,Simples,D
12,142,Capitólio,298.34,298.55,Simples,C
12,143,Capitólio,298.55,300.04,Simples,C
12,144,Capitólio,300.04,301.91,Simples,B
12,145,Capitólio,301.91,305.24,Simples,E
12,146,Capitólio,305.24,305.93,Simples,D
12,147,Capitólio,305.93,306.46,Simples,D
12,148,Capitólio,306.46,310.59,Simples,C
12,149,Capitólio,310.59,312.24,Simples,D
12,150,Capitólio,312.24,312.80,Simples,C
12,151,Capitólio,312.80,313.42,Simples,B
12,152,Capitólio,313.42,313.81,Simples,D
12,153,Capitólio,313.81,315.42,Simples,D
12,154,São João Batista do Glória,315.42,317.06,Simples,C
12,155,São João Batista do Glória,317.06,320.46,Simples,D
12,156,São João Batista do Glória,320.46,323.04,Simples,E
12,157,São João Batista do Glória,323.04,324.23,Simples,C
12,158,São João Batista do Glória,324.23,326.38,Simples,C
12,159,Alpinópolis,326.38,329.39,Simples,C
12,160,Alpinópolis,329.39,330.23,Simples,C
12,161,Alpinópolis,330.23,331.01,Simples,C
13,162,Alpinópolis,331.01,331.39,Simples,D
13,163,Passos,331.39,332.75,Simples,D
13,164,Passos,332.75,334.16,Simples,D
13,165,Passos,334.16,335.78,Simples,C
13,166,Passos,335.78,344.56,Simples,D
13,167,Passos,344.56,345.36,Simples,C
13,168,Passos,345.36,346.77,Simples,D
13,169,Passos,346.77,347.46,Simples,C
13,170,Passos,347.46,348.49,Simples,C
13,171,Passos,348.49,349.68,Simples,E
13,172,Passos,349.68,350.47,Simples,D
13,173,Passos,350.47,351.23,Simples,C
13,174,Passos,351.23,352.35,Simples,D
13,175,Passos,352.35,354.63,Duplicada,A
13,176,Passos,354.63,355.30,Duplicada,A
14,177,Passos,355.30,356.98,Simples,E
14,178,Passos,356.98,358.54,Simples,D
14,179,Passos,358.54,359.35,Simples,D
15,180,Passos,359.35,360.87,Simples,D
15,181,Passos,360.87,361.61,Simples,E
15,182,Passos,361.61,366.14,Simples,D
15,183,Passos,366.14,368.34,Simples,E
15,184,Itaú de Minas,368.34,369.13,Simples,D
16,185,Itaú de Minas,369.13,369.85,Simples,E
16,186,Itaú de Minas,369.85,372.11,Simples,D
16,187,Itaú de Minas,372.11,373.24,Simples,E
17,188,Itaú de Minas,373.24,378.35,Simples,D
17,189,Pratápolis,378.35,379.33,Simples,E
17,190,Fortaleza de Minas,379.33,382.27,Simples,D
17,191,Fortaleza de Minas,382.27,384.40,Simples,D
17,192,Pratápolis,384.40,387.73,Simples,D
17,193,Pratápolis,387.73,389.03,Simples,C
18,194,Pratápolis,389.03,389.96,Simples,D
18,195,Pratápolis,389.96,392.87,Simples,D
18,196,São Sebastião do Paraíso,392.87,393.92,Simples,C
18,197,São Sebastião do Paraíso,393.92,395.81,Simples,D
18,198,São Sebastião do Paraíso,395.81,397.58,Simples,D
18,199,São Sebastião do Paraíso,397.58,398.74,Simples,C
18,200,São Sebastião do Paraíso,398.74,399.27,Simples,C
18,201,São Sebastião do Paraíso,399.27,0.00,Simples,D
18,202,São Sebastião do Paraíso,0.00,2.15,Simples,D
19,203,São Sebastião do Paraíso,2.15,4.70,Duplicada,A
19,204,São Sebastião do Paraíso,637.20,638.79,Simples,D
20,205,São Sebastião do Paraíso,638.79,643.46,Simples,D
20,206,São Sebastião do Paraíso,643.46,647.33,Simples,D
20,207,São Sebastião do Paraíso,647.33,652.09,Simples,D
20,208,São Sebastião do Paraíso,652.09,655.38,Simples,E
20,209,São Sebastião do Paraíso,655.38,657.66,Simples,B
20,210,São Sebastião do Paraíso,657.66,659.49,Simples,D
